P_left,P_right,beta_left,vx_left,vx_right,floor_count,completed,max_iterations_seen,min_pressure_seen,step_count
0.00025,2.5e-05,0.00032,0.9,-0.9,0,1,6,2.5e-05,365
0.00025,2.5e-05,0.00032,0.9,-0.5,0,1,5,2.5e-05,599
0.00025,2.5e-05,0.00032,0.9,0,0,1,5,2.5e-05,1029
0.00025,2.5e-05,0.00032,0.9,0.5,0,1,5,2.5e-05,580
0.00025,2.5e-05,0.00032,0.9,0.9,0,1,6,2.5e-05,200
0.00025,2.5e-05,0.00032,0.9,0.99,0,1,9,2.5e-05,200
0.00025,2.5e-05,0.00032,0.99,-0.9,0,1,6,2.5e-05,571
0.00025,2.5e-05,0.00032,0.99,-0.5,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,0.99,0,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,0.99,0.5,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,0.99,0.9,0,1,6,2.5e-05,1264
0.00025,2.5e-05,0.00032,0.99,0.99,0,1,8,2.5e-05,200
0.0001,1e-05,0.000128,-0.9,-0.9,0,1,6,9.99873e-06,200
0.0001,1e-05,0.000128,-0.9,-0.5,0,1,5,9.99957e-06,321
0.0001,1e-05,0.000128,-0.9,0,0,1,5,9.99989e-06,416
0.0001,1e-05,0.000128,-0.9,0.5,0,1,5,9.99998e-06,398
0.0001,1e-05,0.000128,-0.9,0.9,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,-0.9,0.99,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,-0.5,-0.9,0,1,6,1e-05,213
0.0001,1e-05,0.000128,-0.5,-0.5,0,1,5,9.99957e-06,209
0.0001,1e-05,0.000128,-0.5,0,0,1,5,9.99988e-06,228
0.0001,1e-05,0.000128,-0.5,0.5,0,1,5,9.99997e-06,378
0.0001,1e-05,0.000128,-0.5,0.9,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,-0.5,0.99,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,0,-0.9,0,1,6,1e-05,283
0.0001,1e-05,0.000128,0,-0.5,0,1,5,9.99973e-06,240
0.0001,1e-05,0.000128,0,0,0,1,5,9.99988e-06,224
0.0001,1e-05,0.000128,0,0.5,0,1,5,9.99998e-06,439
0.0001,1e-05,0.000128,0,0.9,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,0,0.99,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,0.5,-0.9,0,1,6,1e-05,340
0.0001,1e-05,0.000128,0.5,-0.5,0,1,5,1e-05,268
0.0001,1e-05,0.000128,0.5,0,0,1,5,9.99988e-06,285
0.0001,1e-05,0.000128,0.5,0.5,0,1,5,9.99997e-06,443
0.0001,1e-05,0.000128,0.5,0.9,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,0.5,0.99,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,0.9,-0.9,0,1,6,1e-05,365
0.0001,1e-05,0.000128,0.9,-0.5,0,1,5,1e-05,599
0.0001,1e-05,0.000128,0.9,0,0,1,5,1e-05,1028
0.0001,1e-05,0.000128,0.9,0.5,0,1,5,1e-05,579
0.0001,1e-05,0.000128,0.9,0.9,0,1,6,1e-05,200
0.0001,1e-05,0.000128,0.9,0.99,0,1,8,1e-05,200
0.0001,1e-05,0.000128,0.99,-0.9,0,1,6,1e-05,571
